,text,label,
168,Resort-style swimming pool with sundeck,swimming pool,
178,Resort-style pools with water slides,swimming pool,
182,Resort Style Heated Pool & Jacuzzi,swimming pool,
186,Heated pool and spa within walking distance,swimming pool,
206,Poolside Ramadas,swimming pool,
216,Rooftop Resort Style Pool,swimming pool,
230,24-Hour heated resort style pool with water feature,swimming pool,
234,Swimming pool,swimming pool,
241,"Recreation courtyard featuring 24-hour, heated, tropical swimming pool with white sandy beach, palapas, waterfalls, whirlpool spas and ramadas",swimming pool,
254,Relaxing Resort-Inspired Pool and Jacuzzi with Soothing Water Feature,swimming pool,
255,resort-style swimming pool,swimming pool,
260,"Recreational courtyard featuring palapas, heated, lagoon-style swimming pool with white sandy beach, waterfalls, spa and ramadas",swimming pool,
262,Resort-Style Pool & Spa,swimming pool,
263,Resort-style pool+,swimming pool,
281,Resort-style pool and spa with cabana and complimentary wifi,swimming pool,
285,Resort-style pool & spa,swimming pool,
287,"Heated, lagoon-style swimming pool with spa and ramadas",swimming pool,
290,"Heated lagoon-style swimming pools with waterfall, spa and ramadas",swimming pool,
802,Community splash pad,swimming pool,
813,Community pool,swimming pool,
265,Lighted tennis courts,tennis court,
1021,Lighted tennis court,tennis court,
68,Tech Packages with Bluetooth and NEST thermostats,thermostat,
73,Programmable Thermostat,thermostat,
90,Programmable Nest Learning Thermostats,thermostat,
261,Central Heating & Cooling,thermostat,
274,Smart thermostat and lighting,thermostat,
350,Nest thermostats,thermostat,
399,Nest Thermostats,thermostat,
53,Access to Pedestrian Trail,trail,
56,3.5-mile Outdoor Discovery Trail linking neighborhoods and amenities,trail,
276,Nearby Access to Walking Trails and Parks,trail,
400,Trails nearby,trail,
671,Walking trails,trail,
1272,Walking and biking trails,trail,
17,Conference Room with Flat Panel TV and Resident Printer,TV,
47,Resident lounge with flat screen TV,TV,
62,Mini-theater with big-screen TV and video library,TV,
68,Lounge & Conference Room w/ TV & A/V Equipment for Video Calls,TV,
123,Outdoor TV Lounge,TV,
171,"Board game and entertainment lounge with 75"" 4K television and audio system",TV,
174,Media Center with Big-screen TV,TV,
445,TVs & Shuffleboard,TV,
523,Optional: AT&T TV,TV,
93,USB Charging Ports,USB charging,
129,USB Outlets in Kitchen & Bedroom,USB charging,
247,USB charging ports,USB charging,
784,USB plug-ins,USB charging,
1016,USB Charging Outlets,USB charging,
1142,USB charging stations,USB charging,
51,Individually metered apartments for power and water,utilities,
72,Executive height vanities in master bathroom,vanity,
768,dual vanity,vanity,
824,Double vanity in master bath,vanity,
34,Your Choice of Inspiring Mountain or Lively Downtown City Views,views,
39,Lawns and Lush Desert Landscaping,views,
62,Hudson SIXTH: Private 6th-level access with premium views and finishes,views,
63,Lush desert landscaping,views,
75,Lush Landscaping,views,
82,"An enclave of green, lush landscaping",views,
101,Lush landscaping,views,
109,Flourishing landscaping,views,
227,Unspoiled desert views,views,
232,Entry with water feature and bridge,views,
263,Lush landscaping with bridges over meandering waterways,views,
343,Majestic lake views from your balcony,views,
383,Breathtaking City & Mountain Views,views,
436,Three acres of sparkling lakes with fountains and bridges,views,
440,Lush desert landscaping and verdant lawns,views,
452,Panoramic Views of McDowell Mountains,views,
499,Unspoiled desert views with vast open space,views,
549,Lush landscaping with water features,views,
572,Lush Landscaping with water features,views,
611,Lush landscaping with water feature at entry,views,
638,Beautiful mountain views,views,
826,"12,000-Square-Foot Landscaped Amenity Deck",views,
921,Mountain and city views,views,
1279,Panoramic Views of Scottsdale and Surrounding Mountains,views,
30,Sand volleyball court,volleyball court,
53,Well-lit sand volleyball courts,volleyball court,
58,Lighted sand volleyball courts,volleyball court,
325,White sand volleyball court,volleyball court,
402,Two full size sand volleyball courts,volleyball court,
576,Lighted sand volleyball court,volleyball court,
677,2 Sand Volleyball Courts,volleyball court,
703,Sand Volleyball,volleyball court,
862,Full size sand volleyball court,volleyball court,
971,Volleyball & Lap Pool,volleyball court,
1097,"Lighted, sand volleyball court",volleyball court,
1109,Volleyball court,volleyball court,
79,Front Load Washers and Dryers,washer&dryer,
117,Full Size Washer/Dryer,washer&dryer,
121,Full Appliance Package,washer&dryer,
175,Full-size washer + dryer,washer&dryer,
191,Full-size front load washer & dryer,washer&dryer,
200,GE® Energy Star® Washers and Dryers,washer&dryer,
226,Front-Load Washers and Dryers,washer&dryer,
236,Washer and Dryer included,washer&dryer,
326,Washer & Dryer Included,washer&dryer,
353,Full-Size Washer and Dryer,washer&dryer,
358,Full-size Washer & Dryer,washer&dryer,
406,"Conveniently-located, high efficiency washers and dryers in each apartment",washer&dryer,
432,Full size appliances,washer&dryer,
457,Full suite of GE Appliances,washer&dryer,
507,All Appliances Included,washer&dryer,
614,Full size washer and dryer,washer&dryer,
625,Large washer & dryer,washer&dryer,
633,Washer/Dryer,washer&dryer,
675,GE Front Loading Washer & Dryer,washer&dryer,
686,Washer/Dryer Included,washer&dryer,
714,Full size washer and dryers,washer&dryer,
803,Washer/Dryer in Unit,washer&dryer,
867,Dry cleaning service,washer&dryer,
958,Whirpool Washer / Dryer Include,washer&dryer,
962,Full-size washer/dryer,washer&dryer,
986,Washer/dryer included,washer&dryer,
1014,Full-size washer & dryer,washer&dryer,
1023,"High-efficiency, front-loading washers & dryers",washer&dryer,
1039,In-unit washer & dryer,washer&dryer,
1101,Full-size washer/dryer included,washer&dryer,
1184,Full-size washer and dryer,washer&dryer,
1230,Full-Size Washer & Dryer in Every Home,washer&dryer,
1241,Full-size washer/dryer in the unit,washer&dryer,
1264,Full Size Washer/Dryer in Unit,washer&dryer,
1270,Full-Size Washer/Dryer,washer&dryer,
1455,Full-size washers and dryers,washer&dryer,
400,Purified water station,water station,
468,Drinking Water Filling Station,water station,
306,Waterfront living,waterfront,
207,Wheelchair Accessible,wheelchair access,
363,Wheelchair access,wheelchair access,
51,Complimentary Wi-Fi available in amenity areas (Residents are only able to access Wi-Fi with a COX account),internet,
289,Complimentary WI-FI in amenity areas,internet,
304,"Community-wide, private Wi-Fi",internet,
314,Wi-Fi access in all public areas including pool,internet,
316,"Homes Wi-Fi ready with Preinstalled Equipment and First Month Free, Provided by CoxGrand",internet,
326,WiFi access across the entire property,internet,
370,Wi-Fi Available,internet,
461,Complimentary Wi-Fi available in amenity areas,internet,
500,WiFi in common areas,internet,
560,Wi-Fi available in amenity areas (Cox Communications Customers Only),internet,
570,WiFi Hot Spots in Social Spaces,internet,
586,Wifi access in common area,internet,
592,WiFi Available,internet,
618,Complimentary WiFi in Common Areas,internet,
627,Business Center with comprehensive technology features Complimentary Wi-Fi availability in amenity areas (Secure Network with COX account login),internet,
636,Community WiFi,internet,
639,Wi-Fi in all the amenities,internet,
662,Wi-Fi in Common Areas,internet,
668,Wi-Fi across the entire property,internet,
697,"Homes Wi-Fi Ready with Pre-installed Equipment and First Month Free, Provided by Cox",internet,
89,WiFi available,wifi cafe,
99,Wi-Fi access,wifi cafe,
159,Cyber cafe,wifi cafe,
257,"High tech cyber café, including wired and wireless internet access",wifi cafe,
262,24-hour Cyber Cafe with 6 computers,wifi cafe,
279,Cyber café with WiFi,wifi cafe,
553,Cyber Cafe,wifi cafe,
554,WiFi cafe,wifi cafe,
609,"Business Center with comprehensive technology, featuring complimentary wifi availability in amenity areas",wifi cafe,
628,high tech cyber cafe,wifi cafe,
31,Expansive Windows,windows,
73,Oversized windows,windows,
114,Upgraded Window Coverings,windows,
124,"Tinted, dual-pane windows with vertical blinds",windows,
203,Energy efficient dual pane windows,windows,
219,Mini and vertical blinds,windows,
356,Dual pane windows,windows,
361,Upgraded window coverings,windows,
385,Expansive Picture Windows,windows,
438,Vertical blinds,windows,
661,Two-inch blinds,windows,
669,Sliding Window Wall in Living Room,windows,
693,Window seat,windows,
915,Modern Dual-glazed and high efficiency windows,windows,
1134,Dual-pane windows with vertical blinds,windows,
1152,oversized windows,windows,
1168,Urban-Style Exposed Ductwork,windows,
1174,Dual-pane windows,windows,
1191,Dual-pane insulated windows,windows,
1199,Dual-pane Windows with Vertical Blinds,windows,
1226,Tinted dual-pane windows with vertical blinds,windows,
1236,"Dual-pane insulated windows, vertical blinds",windows,
1313,"Dual-pane, low ""E"" insulated windows",windows,
1361,Dual-pane Windows,windows,
1395,Energy-efficient dual-pane windows,windows,
1401,Dual-pane insulated windows with vertical blinds,windows,
1450,Roller shades,windows,
101,Wine Refrigerators,wine,
480,Built-in wine fridge,wine,
587,Designer wine racks,wine,
951,Wine Fridges,wine,
1235,Wine Refrigerator,wine,
0,Beautiful landscaping with verdant lawns,yard,
339,Lawn,yard,
372,Grassy lawn areas,yard,
256,"Fenced and gated, private patio and maintenance-free backyards",yard,
214,Yoga/spin room,yoga,
345,South Courtyard for Meditation w/ Zen Garden,yoga,
384,Cycle/Yoga room with guided classes,yoga,
527,Zen-inspired Yoga Studio,yoga,
664,Yoga Deck,yoga,
708,Spin & Yoga room,yoga,
746,Yoga Terrace,yoga,
817,spin and yoga room,yoga,
933,Yoga studio,yoga,
1062,Outdoor Yoga Lawn,yoga,
1255,Complimentary Weekly Yoga Class,yoga,
